FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
Luka di Tanah Merah	2016	Bowo Leksono	Indonesia	0	Bahasa	20		Indonesia	FILE	https://www.youtube.com/watch?v=bRQPtWNJJz4&list=PLHHdD7ApFWOSrZAgMeVE-7e48UerKFqob&index=44													
Masean’s Message 	2016	Dwitra J. Ariana	Indonesia	0	en, Bahasa	70		Indonesia	none		[about killings in Balinese village, includes a perp interview]												
Pulau Buru Tanah Air Beta (Buru Island: My Homeland)	2016	Karya Rahung Nasution	Indonesia	0	Bahasa	40		Indonesia	None		[https://www.thejakartapost.com/news/2016/03/19/documentary-provides-different-angle-1965-tragedy.html ; https://journals.openedition.org/archipel/1651]												
On the Origin of Fear	2016	Bayu Prihantoro Filemon	Indonesia	0	en, Bahasa	12		Indonesia				fiction, drama											
Road to Justice 	2016	Ferry Putra	Indonesia	1	en, Bahasa	24		Indonesia	FILE	https://www.youtube.com/watch?v=0KSWx5-QgUc	opens with title card "Road to Justice \n State Crimes - Ater October 1st, 1965"; then a road in Central Java with Lukito Sanjoyo in car whose face is blurred with v-o talking in Indonesian introing Sanjoyo as "retired policeman", 75 years old, and having been "assigned" to the "Mobile Brigade Unit" in Central Java in 1965-66 which is described as the "darkest period" for him when he was given a "task by the state" which was to shoot "community members"; then Sanjoyo at mass grave speaks himself and describes how prisoners were led to the shooting site with right and left thumb tied, says it was a "state command" and "state duty" and that he could do nothing else and v-o describes him further as "a professional soldier who obeys his commander's order"; then witness and bystander Martono, a mechanical engineer employed "unofficially" by the military, in Surakarta city is introed who saw between 1966-68 the state's "torturing, raping and killing people" and he describes unofficial killings and more official ones, the latter being carried out by the military, he says a minimum of 2 people per day were killed and he was there for two years, tells how he had to get rid of bodies at Bacem bridge (bridge is shown and he reenacts how he threw away bodies), he calculates that it would be about 2*720 people who were disposed of there, says "the official perpetrator is the government through the military"; v-o says that legally the crimes committed are "Crimes Against Humanity", talks of official govt. story that "the incidents after 1 October 1965 were not a crime", but international and Indonesian academics counter that narrative with proves (with footage of several presentations), but v-o says "it is not safe to discuss these findings in Indonesia" over shots of police and demonstraters burning symbols of communism and saying "crush PKI, kill them"; then introes the International People's Tribunal founded in 2013 and convening in Netherlands (with dramatic instrumental audio) with footage from meetings in the New Church Building in The Hague from November 13 to 15, 2015, then introes the 7 main lawyers and prosecutors focused on Indonesia, Antarini Arna, human rights lawyer, Sri Suparyati, human rights activist, Bahrein Makmun, human rights lawyer, Agung Wijaya, human rights lawyer, Silke Studzinsky, expert on sexual violence, Uli Parulian Sihombing, human rights lawyer, Todung Mulya Lubis, human rights lawyer, with a panel of 7 international judges then introed Prof Mireille Fanon-Mendès, expert for UN bodies, Prof Cees Flinterman, former member of UNCHR, Dr Helen Jarvis, UNESCO adviser, Prof Sir Geoffrey Nice, prosecutor for ICTY against Milosevic, Shadi Sadr, Iranian human rights lawyer, John Gittings, expert on East Asia issues, with the panel headed by Zak Yacoob, a South African judge; then chief coordinator of the tribunal Nursyahbani Katjasungkana is introed by v-o, she is then shown speaking about the need to publicly confront Indonesian authorities with proof; v-o then talks about the choice of Netherlands as location; then v-o (over animated sketches, incl. visuals of blood and figures getting shot, with reenactments of crimes against humanity) says that "the team of prosecutors presented 9 kinds of violence which were considered crimes against humanity", which were "mass killing", "enslavement", "imprisonment", "torture", "sexual violence", "persecution", "enforced disappearance", "persecution through hate propaganda" and also touched on the complicity of other governments (with US, Australia and UK flags in the shapes of 3 people displayed), v-o says 20 witness testimonies were heard on top of documents; then extended expert testimony by Prof. Dr. Asvi Warman Adam who talks about Buru-island, described as "concentration camp", which he considers "the most obvious serious-human-rights-violation" (archival still shown of camp), says there are more than 10 000 victims [of camp?], then talks about other camps in among others Moncogloe with 1000 victims from 1970-78, South Sulawesi, Plantungan in Central Java (especially for women) and compares the camps to GULAGs; then montage of various speakers and audience members; then mention of Dr Dianto Bachriadi commissioner of the Indonesian human rights national commission speaking on the third day, the first Indonesian official to speak, he then speaks and says that the commission found that crimes against humanity had been committed; then also the National Commissioner for Women who says they found "gender-based persecution" "conducted by the Indonesian security apparatus"; then a victim witness Mrs Kinkin Rahayu, a student in 1965, speaks but her face is blurred and says she was taken by military police and was forced to fellate two officers, breaks down and the court pauses; then expert witness Prof Dr Saskia Wieringa who talks about difficulties of women testifying about rape and most women in the 1980s would tell her stories of how someone else had been raped, but in 1998 women said it was in fact they themselves who had been raped, Wieringa mentions rapes of especially Chinese-Indonesian women and similar patterns of sexual violence in East Timor, including the "cutting of breasts" [cutting off of breasts?], Wieringa cries; then shots of audience with music; then v-o relates the judges' verdict with footage of South Africa (location of chief judge Yacoob), followed by white intertitle on black "Report of the Judgment \n by the Panel of Judges", with Yacoob listing finding 1) with Indonesian state responsible for crimes against humanity, esp. the military, then v-o takes over and says that Indonesian state is responsible to investigate and punish the crimes across the 9 categories based on International and Indonesian law, Yacoob continues and says Suharto and the Partai Nasional Indonesia, PNI, were responsible, the judges also concluded that "genocide" had been committed and Yacoob mentions genocide convention and mentions that this "possibly also applies to crimes committed against the Chinese ethnic minority group"; v-o talks about how the work of the tribunal will "stimulate various activities to reveal the truth", with among others a 1969 sketch of "military detention camp: Koblen in Surabaya" shown, followed by various pieces of graphic arts and drawings/paintings about the destruction of the women's movement, forced labor on Buru Island 1969-1979, drawing Mrs Suti, a feminist survivor, while v-o talks about education of youth and we see people looking at the art exhibition; v-o mentions that many who worked for the tribunal did so voluntarily and that "they constitute what can be called road to justice"; more art with music, including drawing of survivor Deborah Sumini; then intertitle crediting the artists of the artworks followed by credits	direct, animation, archival	police (Mobile Brigade Corps/Brimob), army, military police		political opposition, duty		direct, animation, archival	PKI, Chinese-Indonesians, PKI-affiliated groups	F	TRUE	H		
Semai Phala	2017	Yayan Wiludiharto	Indonesia	0	Bahasa	33		Indonesia	FILE	https://www.youtube.com/watch?v=K2T_P2L-FaA&list=PLHHdD7ApFWOSrZAgMeVE-7e48UerKFqob&index=43	[article in Indonesian: https://medium.com/@SirDandy/semai-phala-dengki-dan-pembunuhan-b784bca0b51f]												
Kami Hanya Menjalankan Perintah, Jenderal! (We Only Follow Orders, General!) 	2017	Ilman Nafai	Indonesia	0	Bahasa	13		Indonesia	FILE	https://www.youtube.com/watch?v=Y9tUDKWZgLQ													
Le soliloque des muets, Indonésie 1965 - Un Massacre oublié	2018	Stéphane Roland	Indonesia	0	en, fr	70		France	DVD														
Sum 	2018	Firman Fajar Wiguna	Indonesia	1	en, Bahasa	14		Indonesia	FILE	https://www.youtube.com/watch?v=GjCZZVOQPLY	all in b&w, opens with a woman cooking, then someone cutting in the field while a female v-o says she was married in 1954, her husband served in military in Magelang, gave birth in 1956 to first child and had two others; she then listens to radio broadcast which is not subtitled; woman says she participated in the BTI [?] "because my parents and my siblings agreed" over shots of her in the field again and she became secretary of her village and she says the activities are how to plant well, "harmony, hapiness for BTI members", describes fighting between farmers and rich landowners; then says that the govt. recommended "land certificates for ownership rights" all over shots of her in the fields; govt. began taking lands [subtitles are very poor], when she went to complain security reports about here were compiled and she was taken for questioning [?], says that landowners were allowed to have 7 hectares of land, more than "our family of BTI requested"; then "G30S/PKI events erupted in Jakarta", says they were accused of being PKI or Gerwani but she says "no, we deal with the ground"; then she and her father were taken in by police and then were taken to Purbalingga police office, her sister and her sister's husband were also briefly imprisoned; when her husband found out she was in jail he wanted to divorce her, but was not given permission, but eventually forced her to divorce him with the help of the village chief so that he could have another son and says the village chief was afraid of her "military husband", all this while she completes daily work tasks; says that 6-7 months later she moved to a women's prison in Bulu, Semarang where wshe was from 1966 to 1972, describes her diet of corn, then in 1972 she was moved to Plantungan, Kendal, talks of her daily labour there, herding, harvesting etc, then was moved in 1976 back to Bulu prison in Semarang becauset the commander feared a rebellion in Plantungan, she remained in Bulu for 2 years, all still over her doing her daily tasks; she was released in 1978 for a total of 13 years and says "It's all sad when you remember that", has a photo of Sukarno over her bedstead; end	None	police		political opposition		direct	PKI, Gerwani, BTI	F	FALSE	T		
Sekeping Kenangan (Fragment of Memory)	2018	Hadhi Kusuma	Indonesia	1	en, Bahasa	51		Indonesia	FILE	https://www.youtube.com/watch?v=Tf_2CI8xdp0&list=PLHHdD7ApFWOSrZAgMeVE-7e48UerKFqob&index=14	opens with shot of park, then man plays guitar and harmonica; then drawings of army, people behind bars, people crying with captions "the massacres of 1965-66 in Indonesia took many lives, including in Bali. On the island of the Gods, the deaths of 80,000 victims were recorded. Many people were also imprisoned without a proper trial.", back to man in guitar; then black intertitle "Taman 65, a community dedicated to raising awareness about Bali's violent history in 1965, set out to document the memories of prison survivors. Recorded on whatever device at hand, these fragments began to reveal a bigger story ... "; then home video of elder lady with family asked about the songs/poems she wrote in prison; interview with Roro Sawita, Taman 65 community, talks about the idea of Prison Songs which emerged when several survivors talked about the songs they sang while imprisoned, Gde Putra, also Taman 65, talks about survivor's singing to give them strength (document with songs and sheet music shown) while he mentions that themes of songs were longing and separation from one's family and fearing for one's life constantly; then shot of young man playing guitar and singing; then July 2012 footage of Pak Jumpung, ex-political prisoner 1965, talks about Sukarno and that song Dekon is actually based on Sukarno speech, sings it; then footage of Pak Natar and Pak Jenawi, both political prisoners 1965, from June 2012 who sing Dekon [Deklarasi Ekonomi/Economic Declaration by Suharto] song, then archival footage of Suharto while the young man singer takes over singing about enemies everywhere and economic solidarity and making "Nasakom our core" and Nasakom is explaine as "politics that merge nationalism, religion, and communism"; then two Taman 65 members watch footage (later shown fullscreen) of Natar and Jenawi talking about how they didn't ask for people's caste and that nationalism was important for them and talk about corruption; then Putra talks about challenge of intepreting the works and getting bits and pieces from songs to combine them (montage of footage of Taman 65 members visiting survivors); then Made Mawut, Taman 65, saying how Pak Natar could only remember first verse of Tini dan Yanti (drawing of prison shown); Sawita says they had idea of getting everyone together to sing (more drawings shown) and tell stories; Mawut talks about singing the song with survivors and getting the notes down (montage of footage shown with survivors); Natar and Jenawi talk about how they would sing to each other across prison cells, mention Amnesty International intervention vaguely; Jumpung talks about "Tini dan Yanti" being written on the prison wall; then young man with guitar sings Tini dan Yanti over drawing of Pekambingan Prison in Denpasar, Bali 1965, followed by photo same prison in 1974, and preent-day footage of the area of former prison now in 2017; Putra talks about Mawut singing the song and posting it on youtube and it turned out the composer of song (Pak Amir) saw it, after his grandson had seen it and told his father and then the father showed it to his father/composer and Putra says that convinced Taman 65 that the songs could bridge the generations; then footage from May 2013 of Ongki, the grandson; then footage of band Nosstress; then meeting of Taman 65 with (as we see later) Pak Amir's son and Sawita talks about Pak Ida Bagus Santosa composing song and writing story of Tini dan Yanti; then interview with Pak Dadang, Pak Amir's son, talks about his father who was a composer and devout Muslim; Sawita talks about other song Si Buyung composed for one of Amir's children which he had never had a chance to meet, Dadang cries and says the song was for his younger brother; Sawita, sitting under "Forgive but never forget sign" says they arranged a meeting with Dadang and friends of Amir, then footage of June 2013 meeting they sing Tanduk Majeng; then shot of youtube comment, followed by young man singing a song with guitar; Natar and Jenawi talk about prison cell conditions with up to 14 people on 3x5m or 3x7m (drawings of crammed prisoners shown) they would sleep on top of a mat under which was a hole that functioned as a toilet, poop was used as fertilizer which was hauled up with bucket, cutting plants with self-made makeshift knife made from scrap metal, tells elaborate story of Prak Sria who was making food for fellow prisoners and accidentally put a poop covered spinach leaf in the food and then when serving claimed he had a stomachache and couldn't eat and so the other prisoners filled their stomachs with his food, but eventually Prak Sria was found out; in August 2015 the Prison Songs album was released in Jakarta, then interview with Jrx Superman is Dead who would hang out with Taman 65 and eventually got involved, similarly Man Angga from Nostress who says even in high school he was unaware of what happened in 1965, followed by montage of stage performances; then elderly lady from beginning shown and introed as political prisoner Bu Pasek; then black screen with writing "Those who have passed away", then sepia shot of Pak Santa, Pak Prayit, Pak Badra, Bu Pasek; end credits, then "We offer this in dedication to a truth that has been distorted, to dispel the ignorance that has been maintained and the forgetting that has been enforced. Just one word: Resist!"	None	None mentioned	None	political opposition		direct	None	M	FALSE	T		
Warisan Memori '65	2020	Adeste Adipriyanti	Indonesia	1	Bahasa	29	Narasi	Indonesia	FILE	https://www.youtube.com/watch?v=2tqxNa_vZsQ&list=PLHHdD7ApFWOSrZAgMeVE-7e48UerKFqob&index=39	opens with shot of trees and plants, then an empty hut/house; interview with Ferdinan Natu Otemusu, Generasi Kedua Penyintas Tragedi '65, at execution site, acc. to his father, and his father was in charge of arresting them with "some village authorities" (meanwhile audio is high-pitched female humming), people were shot and thrown into a pit; interview with Pendeta Mery Kolimon, Generasi Kedua Penyintas Tragedi '65, her father also involved in execution and victims were told to dig their own grave; interview with Megawati, Generasi Ketiga Penyintas Tragedi '65, talks about her grandfather and still not knowing where he's buried; then intertitles with drawings of soldiers (helmeted people) and civilians (non-helmeted) and inscription "THe execution of the generals in Lubang Buya [...] at the midnight of October 1, 1965, was followed by another tragedy. Because the Communist Part of Indonesia (PKI) was considered the mastermind, around 500 000* people presumed invovled and/or were members and sympathizers of the PKI across Indonesia were killed, including East Nusa Tenggara (NTT)." "*Moderate estimation from several sources", the estimated number of victims in NTT vary between 2000 to 13 000 persons" (source given is The Making of Middle Indonesia: Kelas Menengah di Kota Kupang, 1930-an-1980-an karya Gerry van Klinken), "Various circles became field executors, from security to organization members & students, to local figures and regular citizens. Some did consciously, the others did it because they didn't have a choice." (over drawings of blindfolded people kneeling), "55 years later, the second and third generation of the perpetrators and victims in NTT are looking for the truth."; then title card "The invisible Heroes. Legacy of '65 Memory"; then Otemusu introes himself and esp. his father, who was a "village head who worked with the security officers" to execute victims (we see Otemusu crying) and says he cannot apologize and ask for forgiveness "that easily" and that he also won't be forgiven that easily "of course", and then talks about sharing his father's story with audience, says when little he considered his father "as a hero" because the "school's curriculum" supported his perception (icon of Jesus shown), then shows house where he was raised, then talks about how his father became village head in Baun and soldiers arriving from Kupang in Baun giving his father a list of suspected PKI which he was to arrest (shown with drawings), Otemusu says that his father "took a long breath and said, 'I can't say no, because this letter comes directly from the soldiers'" (with heartbeat sounds) and Otemusu says "he honestly said, if he refused at that time he and his family would become the victims"; then in footage in sepia with Otemusu studying theology in Kupang and talking with "Mama Priestess Mery Kolimon" about 1965 in class and he "started to feel disturbed" when Mama said that her father was a soldier and Otemusu started questioning whether "a hero would take the life of people who are innocent";  then slow-motion of Mery Kolimon and Mery introed as first person Otemusu shared his father's story with [but why keep a hero's story secret?] and as sharing story of "'65 tragedy victims" through "Women's Network of East Indonesia (JPIT)" and she calls this process "the healing effort", then she says she is a theology lecturer at Universitas Kristen Artha Wacana and has been compiling stories of perpetrators since 2011, then recounts Otemusu wanting to read about perps and she gave him her own book about her father (reenacted in sepia), she talks about her father's, whom she describes as "police officer" [not soldier] role in an execution in Timor of PKI and that he said she would have to become a priestess because he had promised a child to god, recalls difficult conversation with her father about 1965 where at beginning "my father was extremely proud to do it" and "felt like one of the heroes who saved the country" then talks about blindfolded executions with victims having to dig their own graves and he apparently had killed 11-13 of them, then priestess talks about trauma not only being experienced by victims but also by perps and their families and says that there's a "perpetrator's trauma", as they had learned from returning war veterans, she attributes her father's anger and her and her family's becoming "victims of violence" by her father to his trauma; then intertitles say that descendants of victims and perps live close to each other on NTT including friends of Otemusu, Otemusu says JPIT invited him to meeting with descendants of 1965 victims in Merbaun (where there are many descendants of victims), then we see him meet and recount father's story to two women over cocktails, mentions that several people on list just received "staple food packages" from the PKI and "didn't know anything" and that his father "crossed some names off the list", and then he recounts to them his meeting with descendants of victims and says he feels "guilty" even if he becomes a priest; then captions say that "Mega has the same dark legacy" but then talks about her grandfather being a victim rather than perp and was killed by a relative, then she talks about her father being a village official as was her grandfather and he was killed for being accused of being involved with PKI (drawings shown) and she thinks that the relative who arrested her grandfather must have been in a dilemma for arresting his relative, but also for becoming a "target to be executed" otherwise; then Mega joins Women's Network of East Indonesia (JPIT) to counsel victims with 15 victims so far cared for; then Mega visits Oma Net Markus who was 30 years and pregnant in 1965 and they both visit prison where 8 of her family, incl. father and oldest broter, were held and executed and she was hardly allowed to visit, some of the guards were former "Timorese children whom my father used to take care of" and who addressed her by "susi" (sister); then intro of Oma Melki, who is weaving, also counseled by Mega and acc. to captions had no idea of what the PKI was, then Mega driving to meet Melki and talking about Melki who was 17 at the time of witnessing her parents' execution and being herself "harrassed" and in interview she says how she had to strip naked for perps who were looking for the "Gerwani stamp" [which she didn't have and didn't exist in general], then her father and uncle were about to be executed and she was forced to dance; then Mega talking about importance of pristess Mery's mission and no longer concealing the painful memories; then Otemusu looking for mass grave (with occasional slow-motion shot) and he says that "I admit" his father's "fault" and "mistakes", captions say that this was the grave were Melki was forced to dance; end	animation	army, police	M	political opposition		animation	PKI, PKI sympathizers	M	TRUE	T		
Buka Mata	2022		Indonesia	0	en, Bahasa	20	Narasi	Indonesia	FILE	https://www.youtube.com/watch?v=3PBGfYqA-ds													
Lagu Untuk Anakku	2022	Michiel Karatem	Indonesia	0	Bahasa	100	private, Negeri, DMZ	Indonesia	FILE	https://www.youtube.com/watch?v=fGsZ92cGwv8&list=PLHHdD7ApFWOSrZAgMeVE-7e48UerKFqob&index=13	[article in Indonesian: https://infoscreening.co/lagu-untuk-anakku-telah-rilis/] opens with shot of woman in kitchen, [auto-translate subtitles are poor]												
Eksil	2022	Lola Amaria	Indonesia	0	en, Bahasa	120		Indonesia			[story of 10 Indonesians in political exile since 1965, see review: https://www.insideindonesia.org/archive/articles/film-review-inheriting-collective-memories-through-eksil ; the review states that the film attracted an audience of 63,045 people from 2 February to 1 April 2024] 												
Z32	2008	Avi Mograbi	Israel colonisation	0	en, hebrew	82		Israel	FILE		on israeli soldier who committed revenge killing of palestinian												
Unit 731: Nightmare in Manchuria	1998		Japanese Atrocities	0																			
Horror in the East: Japan and the Atrocities of World War II	2000	Laurence Rees	Japanese Atrocities	1	en	90		UK	DVD		2-part series with all non-engl. interviewees being synchronised; part 1: opens with western empires in the east vs those of japan; then japanese attack on manchuria; footage of conference in geneva condemning japanese attack with japanese calling west hypocrites; then focus on japanese army, by 1937 army was 5x bigger than at turn of century; increased brutalization of military recruits is explained by the big size of army and concerns over lack of discipline and control; imperial army recruits interviewed about punishments in military; then militarisation and obedience and nationalism of general population over anti-western propaganda film; colonial efforts were supported by politicians, businesses, and population, those opposed (incl. several prime ministers) were assassinated by army; then colonisation of china in 1937, with japanese effectively believing that chinese were inferior and did not deserve the land; Yoshio Tsuchiya who was "Japanese Secret Military Police" (presumably Kempeitai) then stationed in Manchuria interviewed saying that chinese were called "below human"; then archival footage of japanese war; then american condemnation of japanese bombing (while commentator points out irony that americans would bomb japan on even greater scale) saying that "any general bombing" is against "humanity"; newsreel footage of Japanese atrocities in Nanking (incl. dead and crying children) over commentary mentioning rapes in Nanking; testimonies of various westerners in China (red cross) is being read; archival footage by missionary taken secretly in chinese hospital with doctors pointing out injuries on bodies, incl. of Xiuying Li who was bayonetted for resisting raping -- she survived and is interviewed for the doc and gives testimony of what was done to her; Masayo Enomoto from imperial Japan. army describes the modus operandi of japanese army as pillaging, killing villagers and burning villages (he describes it in an impersonal way without indicating whether he was involved); photos of japanese soldiers using chinese men for bayonet practice followed by testimony of Yoshio Tsuchiya (captions describe him as japanese secret police in manchuria, imprisoned in china for war crimes 1950-56) who is introduced as having been ordered to do so: he says that the first time you feel bad, but then you are praised as being honorable and curageous and that this was the "driving power for the second time", after which "I didn't feel anything" and adds that "if I thought of them as human beings I could never have done it, but because I thought of them as animals or below human beings we did it"; Hajime Kondo with the Imp. army describes looting and a mass rape initialised by a comrade, says that normally after rape victims were killed, but not this time (testimony in part given over images of random chinese woman in field), but her baby was thrown over cliff and then woman killed herself, Kondo says "I felt sorry for them for a while"; then footage of japanese soldiers singing while commentary says we might never know numbers of chinese killed, but says there's no doubt "many millions of Chinese died" adding that only few of the perpetrators were ever prosecuted; Masayo Enomoto interviewed again and reintroduced as having been imprisoned for war crimes in China, says "I didn't feel any guilt then [when he was raping and killing]" and interviewer asks "why didn't you feel any guilt or shame" and he as reason "because I was fighting for the emperor. He was a god."; then commetator talks about emperor with footage of his palace today and question of how much he knew about atrocities committed in his name, but says that what is certain is that no evidence shows that emperor ever attempted to "hold soldiers to account" for their deeds; then "Oasis of Hong Kong" mixing today's with archival footage, then interview with ex-brit soldiers (one of them Anthony Hewitt, ex-POW, who had appeared earlier saying that he thought of jap. as "sadistic" and that he had "hated them" and also appears later) on last days of brit empire in HK and talks about feeling of superiority over everyone else b/c of size of brit empire and had informed superiors of the quality and size of japanese army, but the prevailing brit and american view was that the japanese army was weak and not sophisticated; then japanese-german alliance over archival footage of japanese women waving swastika and japanese flags and archival footage of signing of defensive alliance between germans, japanese, and italy; then japanese invasion of Indochina (Vietnam); americans weary of japanese ambitions stopped fuel delivery, which is described as the reason why japanese then attacked americans; then pearl harbor attack with interviewed american stationed there over archival footage of attack; followed by japanese attack on Hong Kong with archival footage and brit. witness testimony; mention of japanese mistreatment of POWs, with reason given by commentator that having pulled out of league of nations japan would care little about world opinion and also most soldiers attacking were previously in china where they had been brutalised; survivor of japanese "bayonet practice" Osler Thomas (Volunteer Defence Corps) after Japanese invasion; Hewitt interviewed again who describes japanese as "quite ghastly" and describes brits as those who were meant "to look after the Chinese of Hong Kong" and now failed them; british nurse in HK Connie Sully describes being raped by japanese which wasn't "very nice" but if she had resisted you would "have got a bullet"; then, over chipper japanese singing, archival atrocity footage and commentary of japanese invasion of singapore, malaysia, and philippines; says 50 000 POWs were taken in Singapore alone, gives "about 350 000" as total numbers of POWs under japan of which more than 1/4 died; part 1 ends with this over japanese song; part 2: opens with shinto religion as tying japanese to their homeland and emperor, who was conceived of as having descended from the highest goddess of the sun; then interview with Kondo who emphasises god-nature of emperor and says that if you died in war you were perceived of being a god yourself and then being honored at the Yasukuni Shrine; then commentator (over archival footage of soldiers) states japanese should never be captured alive and that this drive for self-destruction is what this part of the series is about; then americans attack japan with interviews by american marine Michael Witowich and US airforce officer Paul Montgomery; archival footage of war with song "slap the dirty little jap"; US navy officer Gene la Rocque (also interviewed in part 1) says that they'd been told japanese are "subhuman"; then mistreatment of japanese war dead with interviews by american officer and then a photo by Life magazine of US soldier girlfriend with trophy skull of japanese dead; Witowich interviewed again says in war there are atrocities on both sides and thereby effectively justifies his collection of japanese gold teeth; then historian Yuki Tanaka interviewed about cannibalism of jap. soldiers (whom commentator describes as starving) of POWs and their own dead (Australian investigations' documents on this declassified only in 1990s); then jap. order to execute all those who committed cannibalism -- but only those who ate japanese dead; then archival footage with jap. commentary of emperor visiting Yasukuni Shrine; archival footage of Saipan suicides where japanese woman threw themselves and their children off cliffs b/c advancing american army and they had been told they would be murdered and raped by them; color footage of corpses and children scattered at bottom of cliff; then propaganda footage about Saipan loss emphasising the nobility of dying for emperor with children saying they must fight americans and brits "to the end"; Montgomery says he "wanted go home" and says "if they told me go bomb some cities, I went'n bomb cities" and emphasising that "it's not like goin' on and stick a bayonet 'n somebody's belly, OK" "you still kill 'em" but b/c it was killing from a distance it does not have the same "demoralising effect" on you and that "for some reason" he did not feel pity at the time over archival footage of US bombers bombing; then footage of tokyo firestorm with death toll given as 100 000; then survivor Yoshiko Hashimoto talks about surviving (but her parents dying) over further photos; then Kamikaze (having begun sporadically in 1944) increases in 1945 in order to secure one big victory, acc. to emperor, so that they can secure more advantageous peace agreement over propaganda film of kamikaze pilots, with witness testifying that he thought at the time that they were "doing well" and not wasting theirs and that civilians should do the same when time comes; then pilot Kenichiro Oonuki interviewed who is introduced by commentator as proving "simplistic" narrative of all-volunteer kamikaze piloting as false and then describes that if they said no they and esp. their families would have been "shunned" and sent to certain death in the frontlines of battle anyway (we later find out that he had survived only because he was shot down and captured, then subsequently called "dishonorable" by japanese and imprisoned); then more propaganda footage of kamikaze pilots getting ready followed by american footage of kamikaze attacks (presumably in Okinawa); more civilian suicides described and testimony by someone who'd killed his own mother; James Eagleton US Marine says that they thought of Japanese as subhumans and that they never took prisoners in his two years at war and said they killed surrendering japanese "on the spot"; commentator says that surrendering japanese were often told to take off clothes (in case they were trying to trick americans) and that many jap. POWs were taken and at times were mistreated; followed by Eagleton testimony of killing already long-surrendered POW; more civilian suicides, encouraged by jap. army; gives Okinawa death toll as 8000 americans, 60 000 jap. soldiers and 150 000 civilians over archival footage of allied forces giving water to naked and muddied jap. children; jap. soldier interviewed saying that japan refused to surrender, because in previous decades japan had never lost a war and they didn't know how to lose; then deaths of allied POWs in borneo; Toyoshibe Karashima who (is Taiwanese and) was a POW camp guard describes killing a POW in Borneo effectively as a mercy killing and that he "had no choice" but felt "very sorry" for them; peter lee who was a brit POW who survived describes the jap. POW system as "uncivilised" and "sadistic" and tropes of japanese atrocities as contrary to "civilised world" reoccur in later testimony by him as well; Karashima, convicted by australian war crimes trial, says he does not feel guilty and that's just what war is like and that emphasises superior orders; Montgomery (who bombed jap. civilians to death and was at peace about it) remembers seeing cemetery of 7000 US dead soldiers and cries at the memory; then nuclear bombs and commentary mentions discussion of whether jap. would've surrendered w/o the bomb, but mentions jap. efforts in reaching out to USSR to help negotiate peace agreement (though not unconditional surrender); then footage of jap. soldiers laying down arms and, acc. to commentary, being "finally allowed to stop fighting" and with 5000 politicians and officers being subsequently tried for war crimes; emperor was kept from humiliation and continued to reign as less than god like, then mentions of discussions about how much he knew; Kondo in interview accuses emperor of not taking responsibility and commentary concludes that he continued his reign until his death 1989, ending the doc	archival, direct	Japanese Imperial Army, doctors of 731, Kempeitai	M			archival, direct	Chinese (main), allied POWs		TRUE	H		
Nanking	2007	Bill Guttentag, Dan Sturman	Japanese Atrocities	0	en																		
731: Two Versions of Hell	2007	James T. Hong	Japanese Atrocities	0	en	30		US															
Gai Shanxi and Her Sisters	2007	Ban Zhongyi	Japanese Atrocities	0	en, Japanese, Mandarin	80		China		https://icarusfilms.com/df-gai	[about Chinese comfort women of Japanese military]												
Unit 731	2015	Chris D. Nebe	Japanese Atrocities	0	en	60																	
China's Schindlers			Japanese Atrocities	0	en					https://www.youtube.com/watch?v=wOp2MwZqCfY													
Doctors of Death	2010	Dirk Pohlmann	Japanese Atrocities, Holocaust	0	en	50	ZDF	Germany		https://www.youtube.com/watch?v=0hRSZMgLI6Y		direct		M									
Waltz with Bashir	2008	Ari Folman	Lebanon	1	en, Hebrew	87		Israel	BlueRay			animation		M			animation?						
The Redemption of General Butt Naked	2011	Daniele Anastasion, Eric Strauss	Liberian Civil War	0	en	85						direct		M									
Storm Under the Sun	2007	Xiaolian Peng, Louisa Wei	Mao China	0		147																	
Though I Am Gone	2007	Hu Jie	Mao China	0		68				https://www.youtube.com/watch?v=eBfGc3-InrA													
Jiabiangou Elegy 	2014	Ai Xiaoming	Mao China	0		408					[5-episode docuseries on labour camp system under Mao]												
Fengming: A Chinese Memoir	2007	Wang Bing	Mao China 	0																			
The Ditch (Le Fosse; Goodbye Jiabiangou)	2010	Wang Bing	Mao China 	0								fiction											
Les Âmes mortes (Dead Souls)	2018	Wang Bing	Mao China 	0	en, fr																		
			Mao China 	0																			
			Mao China 	0																			
I have Seen (nda mona)	1999	Richard Pakleppa	Namibia (SWAPO)	0	en	27	Southern African Communications for Development (SACOD)	Namibia 		https://www.youtube.com/watch?v=H8rGN5jireg&ab_channel=NamibiaMediaInitiative													
Fernando ha vuelto	1998	Silvio Caiozzi	Pinochet Chile	0	esp	31																	
The Pinochet Case	2001	Patricio Guzmán	Pinochet Chile	0	en, esp	109		Chile		https://icarusfilms.com/if-pino													
